,PLAYER_ID,PLAYER_LAST_NAME,PLAYER_FIRST_NAME,TEAM_ID,TEAM_CITY,TEAM_NAME,TEAM_ABBREVIATION,JERSEY_NUMBER,POSITION,HEIGHT,WEIGHT,GP,MIN_PerGame,FGM_PerGame,FGA_PerGame,FG_PCT_PerGame,FG3M_PerGame,FG3A_PerGame,FG3_PCT_PerGame,FTM_PerGame,FTA_PerGame,FT_PCT_PerGame,REB_PerGame,AST_PerGame,TOV_PerGame,STL_PerGame,BLK_PerGame,PTS_PerGame,PLUS_MINUS_PerGame,NBA_FANTASY_PTS_PerGame,OFF_RATING_PerGame,DEF_RATING_PerGame,NET_RATING_PerGame,AST_PCT_PerGame,AST_TO_PerGame,OREB_PCT_PerGame,DREB_PCT_PerGame,TS_PCT_PerGame,USG_PCT_PerGame,PIE_PerGame,PTS_Per100Possessions,PF_Per100Possessions,CONTESTED_SHOTS_Per36,DEFLECTIONS_Per36,CHARGES_DRAWN_Per36,SCREEN_ASSISTS_Per36,LOOSE_BALLS_RECOVERED_Per36,BOX_OUTS_Per36,PCT_STL_PerGame,PCT_BLK_PerGame,PCT_PLUSMINUS_PerGame,POTENTIAL_AST_PerGame,SCO,PLY,REB,DEF,HST,IMP,OVERALL
300,101108,Paul,Chris,1610612746,LA,Clippers,LAC,3,G,6-0,175,8,12.9,0.8,3.1,0.24,0.6,2.4,0.263,0.1,0.1,1.0,1.8,3.6,0.9,1.1,0.0,2.3,-4.3,12.3,92.4,106.5,-14.2,0.426,4.14,0.048,0.087,0.354,0.132,0.076,8.6,6.2,1.1,5.7,0.0,0.4,0.8,0.8,0.321,0.0,0.115,6.3,-2.1738903762571864,2.02423170779239,-0.2686775358205808,-1.1124645270392026,0.026271018015951997,-0.9824693177354349,46.74663147118211
308,1641764,Podziemski,Brandin,1610612744,Golden State,Warriors,GSW,2,G,6-4,205,12,28.4,4.3,9.6,0.452,1.7,4.6,0.364,1.7,2.2,0.769,4.7,3.1,1.3,1.3,0.3,12.0,2.0,25.6,110.1,107.4,2.7,0.167,2.31,0.017,0.152,0.569,0.176,0.098,19.9,4.0,3.5,3.0,0.5,1.1,0.5,0.5,0.262,0.097,0.044,7.1,-0.22791822942091783,0.2800263170461105,-0.3488496299085838,-0.3062786010082485,0.39656409241397694,0.13223220394252932,49.7216549484066
309,1627751,Poeltl,Jakob,1610612761,Toronto,Raptors,TOR,19,C,7-0,253,7,23.8,3.7,5.6,0.667,0.0,0.0,0.0,0.9,1.9,0.462,7.1,1.7,1.4,0.4,0.7,8.3,-1.0,21.4,117.3,119.2,-1.9,0.09,1.2,0.121,0.176,0.648,0.134,0.073,16.2,8.1,12.3,3.0,0.0,6.9,0.4,2.8,0.1,0.333,-0.032,2.2,-0.08355449444469414,-0.7917195625296841,1.6420818145527931,0.1550997071377448,0.7295694930466778,-0.42752904858357826,54.12245372966743
310,1629673,Poole,Jordan,1610612740,New Orleans,Pelicans,NOP,3,G,6-4,194,7,30.3,5.0,14.1,0.354,2.9,8.4,0.339,4.4,4.6,0.969,1.7,3.4,2.1,0.3,0.3,17.3,-13.0,24.1,105.0,126.9,-21.9,0.189,1.6,0.012,0.048,0.535,0.235,0.07,26.5,3.9,3.9,1.5,0.2,0.2,0.3,0.2,0.049,0.143,0.052,5.4,0.0807104297176926,0.11455070738777537,-1.1435130683403734,-0.8534683415349804,-0.40878937078692956,-1.436096817744526,46.59652763935833
311,1641854,Porter Jr.,Craig,1610612739,Cleveland,Cavaliers,CLE,9,G,6-1,180,11,15.4,1.6,3.5,0.474,0.5,1.6,0.333,0.3,0.6,0.429,3.0,2.0,0.8,0.8,0.2,4.1,-0.3,12.9,112.6,114.1,-1.5,0.176,2.44,0.086,0.108,0.548,0.119,0.082,12.4,3.0,3.8,5.1,0.0,0.4,1.1,0.4,0.22,0.143,0.084,3.8,-0.8923324932822683,0.07416475678691582,0.42735016347157906,-0.7252815558893332,0.29236374501659507,-0.28681270962838634,46.951249819923355
313,1629008,Porter Jr.,Michael,1610612751,Brooklyn,Nets,BKN,17,F,6-10,218,10,32.0,8.2,17.7,0.463,3.1,8.7,0.356,3.6,4.3,0.837,7.4,2.6,2.6,0.7,0.1,23.1,-8.1,35.7,113.0,127.1,-14.2,0.138,1.0,0.036,0.198,0.59,0.281,0.126,34.4,3.6,2.6,2.5,0.0,0.8,0.7,1.0,0.159,0.083,0.023,4.0,0.9383662309161588,-0.4102983621150632,0.29798427007007605,-0.31752838073256434,-0.4679005408262471,-0.3082803715834614,51.137334555642816
314,1626171,Portis,Bobby,1610612749,Milwaukee,Bucks,MIL,9,F,6-9,250,11,20.5,3.7,8.2,0.456,1.4,3.4,0.405,0.4,0.5,0.667,5.4,1.4,1.2,0.4,0.1,9.2,0.5,17.8,114.2,112.0,2.2,0.087,1.15,0.048,0.188,0.545,0.194,0.092,20.8,3.5,10.5,2.9,0.0,2.2,1.1,2.4,0.098,0.043,0.025,2.5,-0.2757627509356686,-0.7928532428977946,0.5459722119540215,-0.47261087521492995,0.4734914352742693,0.02712661959449672,48.32802409828244
315,204001,Porziņģis,Kristaps,1610612737,Atlanta,Hawks,ATL,8,F-C,7-2,240,8,26.1,5.5,12.8,0.431,1.5,5.0,0.3,5.4,6.1,0.878,5.9,3.4,1.1,0.6,1.5,17.9,-2.9,35.2,115.4,119.5,-4.1,0.194,3.0,0.071,0.15,0.579,0.258,0.129,32.0,5.6,14.5,2.8,0.0,2.9,0.5,2.4,0.119,0.444,-0.039,3.6,0.6934729667852201,0.27008676629523765,0.6530528121467533,0.42988554808012497,0.5401735184228699,0.22106976354353086,55.135962020903435
316,1642366,Post,Quinten,1610612744,Golden State,Warriors,GSW,21,C,7-0,238,12,16.0,2.3,5.1,0.459,1.3,3.6,0.372,0.3,0.4,0.8,4.1,1.1,0.7,0.4,0.7,6.3,5.7,15.4,120.0,102.7,17.3,0.09,1.63,0.064,0.179,0.601,0.158,0.102,19.0,4.0,15.2,2.4,0.0,2.4,0.8,2.1,0.161,0.5,-0.042,1.9,-0.13559067533019203,-0.7308896100084246,0.7088271635662362,0.8019026799741181,0.5857928483119038,0.8928923152807227,53.83273806388955
317,1642962,Powell,Drake,1610612751,Brooklyn,Nets,BKN,4,G-F,6-5,195,5,16.6,2.4,4.6,0.522,1.0,2.0,0.5,0.4,0.4,1.0,1.8,1.8,1.6,0.8,0.2,6.2,-10.8,12.5,96.0,128.3,-32.3,0.225,1.13,0.022,0.089,0.649,0.164,0.07,17.7,6.3,4.2,2.3,0.0,0.0,0.0,0.5,0.364,0.167,0.006,4.8,0.06468017831592132,0.16949817189699432,-0.6884355279705581,0.20945317827994397,-0.8356051207685501,-1.8837978042246457,48.37839577022617
